,timestamp,dev_sn,cartridge_id,battery_charge,battery_voltage,volumetric_flowrate,sampled_volume,pump_v,plantower_pm25,pump_rh,pump_t,atmo_rho,pcbp,fdpdp,air_mass_factor,aod_870,aod_675,aod_500,aod_440,aodt,aodp,aodf,aodrh,pm_flag,rssi,i2cf
0,2021-09-04T07:43:37Z,AD00091,J0122,31,11.4678,0,2879.87,14.4431,13.5333,74.7773,19.41,1.1696,988.6,0,2.93522,-66666,-66666,-66666,-66666,15.12,988.56,,36.5811,,-75,
1,2021-09-04T07:23:37Z,AD00091,J0122,31,11.6515,0,2879.87,14.4464,13.6667,74.6992,19.68,1.16853,988.71,0,2.93522,-66666,-66666,-66666,-66666,15.19,988.59,,36.3232,,-75,
2,2021-09-04T07:03:37Z,AD00091,J0122,32,11.8059,0,2879.87,14.4453,14.2667,74.4424,19.68,1.16845,988.62,0,2.93522,-66666,-66666,-66666,-66666,15.29,988.56,,36.7783,,-75,
3,2021-09-04T06:43:38Z,AD00091,J0122,32,11.9388,0,2879.87,14.4508,13.2,73.791,19.93,1.16752,988.72,0,2.93522,-66666,-66666,-66666,-66666,15.58,988.71,,36.6309,,-76,
4,2021-09-04T06:23:38Z,AD00091,J0122,32,12.0566,0,2879.87,14.4508,12.5333,74.2715,20.06,1.16722,989,0,2.93522,-66666,-66666,-66666,-66666,15.65,988.98,,36.6953,,-75,
5,2021-09-04T06:03:38Z,AD00091,J0122,32,12.1614,0,2879.87,14.4552,13.5333,73.7822,20.27,1.16635,989.01,0,2.93522,-66666,-66666,-66666,-66666,15.89,988.88,,36.7148,,-75,
6,2021-09-04T05:43:23Z,AD00091,J0122,33,12.2575,0,2879.87,14.4606,13.4667,74.4297,20.48,1.16536,989.03,0,2.93522,-66666,-66666,-66666,-66666,15.96,988.88,,36.4551,,-75,
7,2021-09-04T05:23:39Z,AD00091,J0122,33,12.3418,0,2879.87,14.4595,15.1333,73.8066,20.43,1.16552,988.92,0,2.93522,-66666,-66666,-66666,-66666,16.08,988.91,,36.3848,,-75,
8,2021-09-04T05:03:39Z,AD00091,J0122,33,12.4207,0,2879.87,14.4617,16.0667,73.959,20.74,1.16405,988.86,0,2.93522,-66666,-66666,-66666,-66666,16.27,988.91,,36.6768,,-75,
9,2021-09-04T04:43:39Z,AD00091,J0122,34,12.4941,0,2879.87,14.4628,14.4,73.835,20.73,1.1643,989.02,0,2.93522,-66666,-66666,-66666,-66666,16.41,988.97,,36.5508,,-75,
10,2021-09-04T04:23:39Z,AD00091,J0122,34,12.56,0,2879.87,14.4639,14.4,73.6533,20.93,1.1635,989.08,0,2.93522,-66666,-66666,-66666,-66666,16.54,989.03,,37.1729,,-75,
11,2021-09-04T04:03:24Z,AD00091,J0122,34,12.6216,0,2879.87,14.4672,12,73.8428,21.06,1.16276,988.96,0,2.93522,-66666,-66666,-66666,-66666,16.73,989,,36.7041,,-74,
12,2021-09-04T03:43:25Z,AD00091,J0122,35,12.6691,0,2879.87,14.4672,12.3333,74.0166,21.16,1.1623,988.97,0,2.93522,-66666,-66666,-66666,-66666,16.84,988.98,,36.5977,,-74,
13,2021-09-04T03:23:40Z,AD00091,J0122,35,12.7026,0,2879.87,14.4716,13.4,72.9922,21.41,1.16123,988.91,0,2.93522,-66666,-66666,-66666,-66666,17.17,989.04,,36.7285,,-74,
14,2021-09-04T03:03:25Z,AD00091,J0122,35,12.7231,0,2879.87,14.4738,9.53333,72.2988,21.56,1.16068,988.94,0,2.93522,-66666,-66666,-66666,-66666,17.45,989.02,,36.2197,,-74,
15,2021-09-04T02:43:25Z,AD00091,J0122,35,12.735,0,2879.87,14.4749,9.4,72.5859,21.8,1.15963,988.98,0,2.93522,-66666,-66666,-66666,-66666,17.48,989,,36.79,,-74,
16,2021-09-04T02:23:40Z,AD00091,J0122,36,12.7426,0,2879.87,14.4815,7,71.2549,22.05,1.1586,988.92,0,2.93522,-66666,-66666,-66666,-66666,17.81,988.98,,36.7236,,-74,
17,2021-09-04T02:03:40Z,AD00091,J0122,36,12.7491,0,2879.87,14.4837,7.2,69.5029,22.34,1.15762,989,0,2.93522,-66666,-66666,-66666,-66666,18.12,988.96,,36.7266,,-74,
18,2021-09-04T01:43:40Z,AD00091,J0122,36,12.7545,0,2879.87,14.487,7.53333,68.3467,22.58,1.15643,988.77,0,2.93522,-66666,-66666,-66666,-66666,18.35,988.72,,36.6885,,-74,
19,2021-09-04T01:23:41Z,AD00091,J0122,37,12.7588,0,2879.87,14.4924,6.73333,65.9502,22.92,1.15493,988.52,0,2.93522,-66666,-66666,-66666,-66666,18.73,988.51,,36.9746,,-74,
20,2021-09-04T01:03:26Z,AD00091,J0122,37,12.7653,0,2879.87,14.5023,5.86667,63.4004,23.48,1.15257,988.33,0,2.93522,-66666,-66666,-66666,-66666,19.43,988.21,,37.0557,,-74,
21,2021-09-04T00:43:26Z,AD00091,J0122,37,12.7728,0,2879.87,14.5122,5.73333,61.3975,24.28,1.14887,987.93,0,2.93522,-66666,-66666,-66666,-66666,20.38,987.97,,36.8096,,-75,
22,2021-09-04T00:23:41Z,AD00091,J0122,37,12.7815,0,2879.87,14.5275,5.73333,57.1797,25.17,1.14563,987.96,0,2.93522,-66666,-66666,-66666,-66666,21.65,987.89,,36.9375,,-74,
23,2021-09-04T00:03:26Z,AD00091,J0122,38,12.7901,0,2879.87,14.5429,5.86667,53.3174,26.45,1.14036,987.68,0,2.93522,-66666,-66666,-66666,-66666,23.31,987.8,,37.2041,,-74,
